d,r,n,|A|,|A+A|
3,9,38,1444,969122
4,2,38,1444,744852
4,3,38,1300,713531
4,4,38,1444,909722
4,5,38,1148,595154
4,6,38,1444,960687
4,7,38,1408,916840
4,8,38,1444,964914
4,9,38,1296,781319
2,2,39,1521,841151
2,3,39,1027,452201
2,4,39,1521,1015756
2,5,39,1217,669925
2,6,39,1521,1057499
2,7,39,1293,775676
2,8,39,1521,1073611
2,9,39,1369,873583
3,2,39,1151,508690
3,3,39,1521,967592
3,4,39,1141,578420
3,5,39,1447,951582
3,6,39,1521,1057492
3,7,39,1293,775638
3,8,39,1484,1028931
3,9,39,1521,1076631
4,2,39,1521,831671
4,3,39,1336,757100
4,4,39,1521,1012811
4,5,39,1217,669739
4,6,39,1521,1066413
4,7,39,1484,1020467
4,8,39,1521,1072231
4,9,39,1331,825665
2,2,40,1600,936471
2,3,40,1093,512945
2,4,40,1600,1126255
2,5,40,1288,751377
2,6,40,1600,1170989
2,7,40,1366,867244
2,8,40,1600,1189733
2,9,40,1444,973079
3,2,40,1220,573946
3,3,40,1600,1073684
3,4,40,1210,651781
3,5,40,1524,1057099
3,6,40,1600,1171686
3,7,40,1366,867053
3,8,40,1562,1141575
3,9,40,1600,1192537
4,2,40,1600,927330
4,3,40,1410,845962
4,4,40,1600,1123994
4,5,40,1288,751186
4,6,40,1600,1181114
4,7,40,1562,1132357
4,8,40,1600,1188308
4,9,40,1405,921415
2,2,41,1681,1039759
2,3,41,1121,541674
2,4,41,1681,1245593
2,5,41,1361,840102
2,6,41,1681,1294195
2,7,41,1441,966506
2,8,41,1681,1314845
2,9,41,1481,1025361
3,2,41,1291,645079
3,3,41,1681,1188704
3,4,41,1281,731697
3,5,41,1603,1171147
3,6,41,1681,1294949
3,7,41,1441,966232
3,8,41,1642,1263285
3,9,41,1681,1318342
4,2,41,1681,1028885
4,3,41,1486,942592
4,4,41,1681,1243960
4,5,41,1361,839412
4,6,41,1681,1304860
4,7,41,1642,1251534
4,8,41,1681,1313610
4,9,41,1481,1025281
2,2,42,1764,1151455
2,3,42,1190,611640
2,4,42,1764,1374244
2,5,42,1436,935977
2,6,42,1764,1426979
2,7,42,1518,1074008
